Protocol,Subtype,Center_Frequency_MHz,Start_Frequency_MHz,End_Frequency_MHz,Bandwidth_MHz,Modulation,Continuous,Archive
802.11x,802.11b/g/n/ax Channel 1,2412,2401,2423,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 2,2417,2406,2428,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 3,2422,2411,2433,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 4,2427,2416,2438,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 5,2432,2421,2443,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 6,2437,2426,2448,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 7,2442,2431,2453,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 8,2447,2436,2458,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 9,2452,2441,2463,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 10,2457,2446,2468,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 11,2462,2451,2473,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 12,2467,2456,2478,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b/g/n/ax Channel 13,2472,2461,2483,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11b Channel 14,2484,2473,2495,22,"BPSK, QPSK, 16-QAM, 64-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 32,5160,5150,5170,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 34,5170,5150,5190,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 36,5180,5170,5190,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 38,5190,5170,5210,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 40,5200,5190,5210,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 42,5210,5170,5250,80,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 44,5220,5210,5230,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 46,5230,5210,5250,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 48,5240,5230,5250,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 50,5250,5170,5330,160,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 52,5260,5250,5270,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 54,5270,5250,5290,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 56,5280,5270,5290,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 58,5290,5250,5330,80,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 60,5300,5290,5310,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 62,5310,5290,5330,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 64,5320,5310,5330,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 68,5340,5330,5350,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 96,5480,5470,5490,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 100,5500,5490,5510,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 102,5510,5490,5530,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 104,5520,5510,5530,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 106,5530,5490,5570,80,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 108,5540,5530,5550,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 110,5550,5530,5570,40,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
802.11x,802.11a/h/j/n/ac/ax Channel 112,5560,5550,5570,20,"BPSK, QPSK, 16-QAM, 64-QAM, 256-QAM",FALSE,
