$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
0.50;1;-109.551;122.897;0.000;56.36;0.25
0.60;1;-107.985;122.904;0.000;56.36;0.25
0.70;1;-106.419;122.911;0.000;56.43;0.25
0.80;1;-104.850;122.917;0.000;56.49;0.25
0.90;1;-103.280;122.924;0.000;56.56;0.25
1.00;1;-101.708;122.931;0.000;56.62;0.25
1.10;1;-100.135;122.938;0.000;56.69;0.25
1.20;1;-98.559;122.944;0.000;56.75;0.25
1.30;1;-96.982;122.951;0.000;56.82;0.25
1.40;1;-95.402;122.958;0.000;56.88;0.25
1.50;1;-93.821;122.965;0.000;56.95;0.25
1.60;1;-92.239;122.972;0.000;57.02;0.25
1.70;1;-90.654;122.979;0.000;57.08;0.25
1.80;1;-89.067;122.985;0.000;57.15;0.25
1.90;1;-87.479;122.992;0.000;57.21;0.25
1.90;2;116.569;283.959;0.000;51.05;246.13
2.00;1;-85.889;122.999;0.000;57.28;0.25
2.00;2;115.996;282.663;0.000;51.05;246.13
2.10;1;-84.297;123.006;0.000;57.34;0.25
2.10;2;115.422;281.366;0.000;51.05;246.13
2.20;1;-82.703;123.013;0.000;57.41;0.25
2.20;2;114.848;280.069;0.000;51.05;246.13
2.30;1;-81.108;123.020;0.000;57.47;0.25
2.30;2;114.274;278.772;0.000;51.05;246.13
2.40;1;-79.510;123.026;0.000;57.54;0.25
2.40;2;113.700;277.476;0.000;51.05;246.13
2.50;1;-77.911;123.033;0.000;57.60;0.25
2.50;2;113.127;276.179;0.000;51.05;246.13
2.60;1;-76.310;123.040;0.000;57.67;0.25
2.60;2;112.553;274.882;0.000;51.05;246.13
2.70;1;-74.707;123.047;0.000;57.74;0.25
2.70;2;111.979;273.585;0.000;51.05;246.13
2.70;3;224.688;135.479;0.000;54.59;181.07
2.80;1;-73.103;123.054;0.000;57.80;0.25
2.80;2;111.405;272.289;0.000;51.05;246.13
2.80;3;223.172;135.451;0.000;54.59;181.07
2.90;1;-71.496;123.061;0.000;57.87;0.25
2.90;2;110.832;270.992;0.000;51.05;246.13
2.90;3;221.655;135.423;0.000;54.60;181.07
3.00;1;-69.888;123.068;0.000;57.93;0.25
3.00;2;110.258;269.695;0.000;51.05;246.13
3.00;3;220.139;135.394;0.000;54.62;181.07
3.10;1;-68.278;123.075;0.000;58.00;0.25
3.10;2;109.684;268.398;0.000;51.05;246.13
3.10;3;218.622;135.366;0.000;54.63;181.07
3.20;1;-66.666;123.082;0.000;58.06;0.25
3.20;2;109.110;267.102;0.000;51.05;246.13
3.20;3;217.104;135.337;0.000;54.65;181.07
3.20;4;116.329;283.417;0.000;51.30;246.13
3.30;1;-65.052;123.089;0.000;58.13;0.25
3.30;2;108.536;265.805;0.000;51.05;246.13
3.30;3;215.586;135.309;0.000;54.66;181.07
3.30;4;115.753;282.114;0.000;51.30;246.13
3.40;1;-63.437;123.096;0.000;58.19;0.25
3.40;2;107.963;264.508;0.000;51.05;246.13
3.40;3;214.068;135.281;0.000;54.68;181.07
3.40;4;115.176;280.811;0.000;51.30;246.13
3.50;1;-61.819;123.103;0.000;58.26;0.25
3.50;2;107.389;263.211;0.000;51.05;246.13
3.50;3;212.549;135.252;0.000;54.69;181.07
3.50;4;114.600;279.508;0.000;51.30;246.13
3.60;1;-60.200;123.110;0.000;58.32;0.25
3.60;2;106.815;261.914;0.000;51.05;246.13
3.60;3;211.030;135.224;0.000;54.71;181.07
3.60;4;114.023;278.205;0.000;51.30;246.13
3.70;1;-58.579;123.117;0.000;58.39;0.25
3.70;2;106.241;260.618;0.000;51.05;246.13
3.70;3;209.510;135.195;0.000;54.72;181.07
3.70;4;113.446;276.902;0.000;51.30;246.13
3.80;1;-56.956;123.124;0.000;58.46;0.25
3.80;2;105.668;259.321;0.000;51.05;246.13
3.80;3;207.990;135.167;0.000;54.73;181.07
3.80;4;112.870;275.598;0.000;51.30;246.13
3.90;1;-55.332;123.131;0.000;58.52;0.25
3.90;2;105.094;258.024;0.000;51.05;246.13
3.90;3;206.470;135.139;0.000;54.75;181.07
3.90;4;112.293;274.295;0.000;51.30;246.13
4.00;1;-53.705;123.138;0.000;58.59;0.25
4.00;2;104.520;256.727;0.000;51.05;246.13
4.00;3;204.949;135.110;0.000;54.76;181.07
4.00;4;111.717;272.992;0.000;51.30;246.13
4.10;1;-52.077;123.145;0.000;58.65;0.25
4.10;2;103.946;255.431;0.000;51.05;246.13
4.10;3;203.428;135.082;0.000;54.78;181.07
4.10;4;111.140;271.689;0.000;51.30;246.13
4.20;1;-50.447;123.152;0.000;58.72;0.25
4.20;2;103.372;254.134;0.000;51.05;246.13
